brightness,bright_t31,frp,distance_to_facility_km,daynight_flag,confidence_score,label
358.2,294.77,13.19,0.483,0,90.9,Persistent Thermal Source
414.16,312.74,143.89,0.968,0,81.3,Potential Industrial Fire
311.76,292.85,6.28,11.062,0,34.0,Other/Uncertain
306.53,293.15,6.74,16.963,1,49.0,Other/Uncertain
355.29,298.51,30.36,0.588,1,94.9,Persistent Thermal Source
409.13,306.34,77.07,0.995,1,97.9,Potential Industrial Fire
328.53,297.79,28.14,16.042,1,65.0,Natural/Vegetation Fire
351.73,297.34,30.69,0.853,1,93.8,Persistent Thermal Source
392.76,314.18,72.81,0.176,1,91.2,Potential Industrial Fire
366.34,300.26,25.11,0.096,1,99.8,Persistent Thermal Source
377.05,317.72,115.15,1.175,0,98.2,Potential Industrial Fire
358.78,295.59,33.63,0.859,1,84.3,Persistent Thermal Source
344.68,302.12,23.62,0.746,0,97.4,Persistent Thermal Source
318.7,290.19,5.12,7.498,0,49.8,Other/Uncertain
325.6,293.86,13.71,10.541,0,85.6,Natural/Vegetation Fire
337.44,293.28,9.52,22.092,1,90.0,Natural/Vegetation Fire
354.08,296.28,24.99,18.459,1,75.1,Natural/Vegetation Fire
308.24,286.94,5.98,8.843,1,30.9,Other/Uncertain
322.95,288.05,3.2,4.883,0,26.2,Other/Uncertain
326.36,290.32,18.16,20.927,1,56.0,Natural/Vegetation Fire
377.94,317.24,80.85,0.752,1,91.4,Potential Industrial Fire
344.38,296.85,17.61,24.71,1,59.5,Natural/Vegetation Fire
379.67,302.32,67.87,1.01,0,95.4,Potential Industrial Fire
343.2,294.37,31.68,0.636,0,77.4,Persistent Thermal Source
310.89,292.99,6.93,2.762,1,44.4,Other/Uncertain
395.58,302.16,47.65,0.758,0,82.8,Potential Industrial Fire
376.8,307.89,49.65,1.009,1,80.5,Potential Industrial Fire
373.04,314.62,124.57,0.93,0,83.5,Potential Industrial Fire
366.72,299.16,26.53,0.409,0,83.2,Persistent Thermal Source
327.65,294.23,2.25,18.48,0,30.9,Other/Uncertain
315.51,291.64,6.02,11.165,0,28.0,Other/Uncertain
366.45,299.18,20.93,0.583,0,88.6,Persistent Thermal Source
360.88,302.78,23.87,0.297,1,81.8,Persistent Thermal Source
336.11,295.81,24.69,11.432,1,79.9,Natural/Vegetation Fire
365.14,297.04,20.64,0.094,1,75.9,Persistent Thermal Source
319.79,292.74,10.11,12.795,0,29.1,Other/Uncertain
352.91,296.23,20.19,0.684,0,77.9,Persistent Thermal Source
351.35,296.64,30.62,0.731,1,97.8,Persistent Thermal Source
353.49,298.71,24.56,12.492,1,84.6,Natural/Vegetation Fire
387.83,307.02,92.9,1.242,1,96.1,Potential Industrial Fire
359.17,296.52,33.96,0.667,1,90.3,Persistent Thermal Source
310.48,286.09,3.43,14.668,1,48.2,Other/Uncertain
317.49,289.75,4.33,14.827,1,24.9,Other/Uncertain
398.45,315.36,87.81,1.319,0,80.1,Potential Industrial Fire
317.87,286.71,2.82,17.346,0,46.4,Other/Uncertain
370.0,312.56,83.38,0.243,0,80.4,Potential Industrial Fire
363.39,297.24,14.92,0.475,1,80.4,Persistent Thermal Source
323.26,291.82,6.33,17.963,1,54.9,Other/Uncertain
330.77,290.49,12.56,9.49,0,53.5,Natural/Vegetation Fire
350.87,301.39,11.97,23.422,1,60.3,Natural/Vegetation Fire
328.36,294.77,34.18,22.108,1,60.3,Natural/Vegetation Fire
334.29,299.77,26.49,6.996,1,82.9,Natural/Vegetation Fire
343.5,298.95,22.16,0.8,0,77.9,Persistent Thermal Source
309.64,292.53,1.88,3.465,0,46.6,Other/Uncertain
313.34,294.47,3.2,19.511,1,24.9,Other/Uncertain
379.49,305.71,151.92,1.141,0,82.1,Potential Industrial Fire
352.12,294.1,32.82,0.091,0,98.8,Persistent Thermal Source
326.83,293.32,29.77,19.588,0,58.4,Natural/Vegetation Fire
368.7,310.24,58.32,1.215,1,89.0,Potential Industrial Fire
354.9,296.67,28.76,23.812,1,59.9,Natural/Vegetation Fire
330.46,294.15,32.21,13.69,1,56.9,Natural/Vegetation Fire
